# Frequency; PSD [dBc/Hz]
3.88793945e+01;-4.40476685e+01
3.89404297e+01;-4.40419960e+01
3.90014648e+01;-4.41640167e+01
3.90625000e+01;-4.43503227e+01
3.91235352e+01;-4.45760574e+01
3.91845703e+01;-4.46493187e+01
3.92456055e+01;-4.48125610e+01
3.93066406e+01;-4.51345329e+01
3.93676758e+01;-4.54499207e+01
3.94287109e+01;-4.56941566e+01
3.94897461e+01;-4.57646980e+01
3.95507812e+01;-4.57038460e+01
3.96118164e+01;-4.54734344e+01
3.96728516e+01;-4.51969795e+01
3.97338867e+01;-4.49294777e+01
3.97949219e+01;-4.45841141e+01
3.98559570e+01;-4.43668327e+01
3.99169922e+01;-4.40830765e+01
3.99780273e+01;-4.38004303e+01
4.00390625e+01;-4.36819115e+01
4.01000977e+01;-4.37080154e+01
4.01611328e+01;-4.37136688e+01
4.02221680e+01;-4.36899796e+01
4.02832031e+01;-4.38598747e+01
4.03442383e+01;-4.41480827e+01
4.04052734e+01;-4.41027679e+01
4.04663086e+01;-4.40797729e+01
4.05273438e+01;-4.41366920e+01
4.05883789e+01;-4.41507111e+01
4.06494141e+01;-4.41701088e+01
4.07104492e+01;-4.43686562e+01
4.07714844e+01;-4.44257431e+01
4.08325195e+01;-4.40873260e+01
4.08935547e+01;-4.37489548e+01
4.09545898e+01;-4.35263062e+01
4.10156250e+01;-4.34574738e+01
4.10766602e+01;-4.35068817e+01
4.11376953e+01;-4.36032677e+01
4.11987305e+01;-4.35379028e+01
4.12597656e+01;-4.33624954e+01
4.13208008e+01;-4.32688522e+01
4.13818359e+01;-4.33935814e+01
4.14428711e+01;-4.35002518e+01
4.15039062e+01;-4.34122620e+01
4.15649414e+01;-4.33001747e+01
4.16259766e+01;-4.32605705e+01
4.16870117e+01;-4.31972122e+01
4.17480469e+01;-4.31425476e+01
4.18090820e+01;-4.31702194e+01
4.18701172e+01;-4.33419151e+01
4.19311523e+01;-4.35218468e+01
4.19921875e+01;-4.34981232e+01
4.20532227e+01;-4.37809486e+01
4.21142578e+01;-4.40834198e+01
4.21752930e+01;-4.39922333e+01
4.22363281e+01;-4.38134575e+01
4.22973633e+01;-4.37322655e+01
4.23583984e+01;-4.36102829e+01
4.24194336e+01;-4.34299355e+01
4.24804688e+01;-4.33694420e+01
4.25415039e+01;-4.35553780e+01
4.26025391e+01;-4.35734863e+01
4.26635742e+01;-4.35337830e+01
4.27246094e+01;-4.35389786e+01
4.27856445e+01;-4.34536705e+01
4.28466797e+01;-4.32444763e+01
4.29077148e+01;-4.30957108e+01
4.29687500e+01;-4.30518990e+01
4.30297852e+01;-4.28683052e+01
4.30908203e+01;-4.27263260e+01
4.31518555e+01;-4.28160324e+01
4.32128906e+01;-4.27956619e+01
4.32739258e+01;-4.26528015e+01
4.33349609e+01;-4.27510033e+01
4.33959961e+01;-4.30521927e+01
4.34570312e+01;-4.33183136e+01
4.35180664e+01;-4.35609932e+01
4.35791016e+01;-4.37289772e+01
4.36401367e+01;-4.38296089e+01
4.37011719e+01;-4.38387794e+01
4.37622070e+01;-4.39011688e+01
4.38232422e+01;-4.41646614e+01
4.38842773e+01;-4.43216591e+01
4.39453125e+01;-4.43150444e+01
4.40063477e+01;-4.43114090e+01
4.40673828e+01;-4.42833328e+01
4.41284180e+01;-4.42975159e+01
4.41894531e+01;-4.39885750e+01
4.42504883e+01;-4.36842384e+01
4.43115234e+01;-4.37134285e+01
4.43725586e+01;-4.38754158e+01
4.44335938e+01;-4.38229599e+01
4.44946289e+01;-4.36565475e+01
4.45556641e+01;-4.35748596e+01
4.46166992e+01;-4.33844757e+01
4.46777344e+01;-4.32474022e+01
4.47387695e+01;-4.32654572e+01
